Type,OID,OID (bin),POS (BIN),POS,Diff
O,4869,0001001100000101,0000000010101111,175,4694
O,4870,0001001100000110,0000000010110000,176,4694
O,4871,0001001100000111,0000000010110001,177,4694
O,4872,0001001100001000,0000000010110010,178,4694
O,4873,0001001100001001,0000000010110011,179,4694
O,4874,0001001100001010,0000000010110100,180,4694
O,4875,0001001100001011,0000000010110101,181,4694
O,4876,0001001100001100,0000000010110110,182,4694
O,4877,0001001100001101,0000000010110111,183,4694
O,4878,0001001100001110,0000000010111000,184,4694
O,4879,0001001100001111,0000000010111001,185,4694
O,4880,0001001100010000,0000000010111010,186,4694
O,4881,0001001100010001,0000000010111011,187,4694
O,4882,0001001100010010,0000000010111100,188,4694
O,4883,0001001100010011,0000000010111101,189,4694
O,4884,0001001100010100,0000000010111110,190,4694
O,4885,0001001100010101,0000000010111111,191,4694
O,4886,0001001100010110,0000000011000000,192,4694
O,4887,0001001100010111,0000000011000001,193,4694
O,4888,0001001100011000,0000000011000010,194,4694
O,4889,0001001100011001,0000000011000011,195,4694
M,22,0000000000010110,0000000011000100,196,-174
M,23,0000000000010111,0000000011000101,197,-174
M,24,0000000000011000,0000000011000110,198,-174
M,25,0000000000011001,0000000011000111,199,-174
O,4890,0001001100011010,0000000011001000,200,4690
O,4891,0001001100011011,0000000011001001,201,4690
O,4892,0001001100011100,0000000011001010,202,4690
O,4893,0001001100011101,0000000011001011,203,4690
M,26,0000000000011010,0000000011001100,204,-178
O,4894,0001001100011110,0000000011001101,205,4689
O,4895,0001001100011111,0000000011001110,206,4689
M,27,0000000000011011,0000000011001111,207,-180
O,4896,0001001100100000,0000000011010000,208,4688
O,4897,0001001100100001,0000000011010001,209,4688
O,4898,0001001100100010,0000000011010010,210,4688
O,4899,0001001100100011,0000000011010011,211,4688
M,28,0000000000011100,0000000011010100,212,-184
M,29,0000000000011101,0000000011010101,213,-184
M,30,0000000000011110,0000000011010110,214,-184
M,31,0000000000011111,0000000011010111,215,-184
O,4900,0001001100100100,0000000011011000,216,4684
O,4901,0001001100100101,0000000011011001,217,4684
O,4902,0001001100100110,0000000011011010,218,4684
O,4903,0001001100100111,0000000011011011,219,4684
O,4904,0001001100101000,0000000011011100,220,4684
O,4905,0001001100101001,0000000011011101,221,4684
O,4906,0001001100101010,0000000011011110,222,4684
M,32,0000000000100000,0000000011011111,223,-191
O,4907,0001001100101011,0000000011100000,224,4683
O,4908,0001001100101100,0000000011100001,225,4683
O,4909,0001001100101101,0000000011100010,226,4683
O,4910,0001001100101110,0000000011100011,227,4683
M,33,0000000000100001,0000000011100100,228,-195
M,34,0000000000100010,0000000011100101,229,-195
M,35,0000000000100011,0000000011100110,230,-195
M,36,0000000000100100,0000000011100111,231,-195
O,4911,0001001100101111,0000000011101000,232,4679
O,4912,0001001100110000,0000000011101001,233,4679
O,4913,0001001100110001,0000000011101010,234,4679
O,4914,0001001100110010,0000000011101011,235,4679
M,37,0000000000100101,0000000011101100,236,-199
O,4915,0001001100110011,0000000011101101,237,4678
O,4916,0001001100110100,0000000011101110,238,4678
O,4917,0001001100110101,0000000011101111,239,4678
O,4918,0001001100110110,0000000011110000,240,4678
O,4919,0001001100110111,0000000011110001,241,4678
O,4920,0001001100111000,0000000011110010,242,4678
O,4921,0001001100111001,0000000011110011,243,4678
O,4922,0001001100111010,0000000011110100,244,4678
O,4923,0001001100111011,0000000011110101,245,4678
O,4924,0001001100111100,0000000011110110,246,4678
O,4925,0001001100111101,0000000011110111,247,4678
O,4926,0001001100111110,0000000011111000,248,4678
O,4927,0001001100111111,0000000011111001,249,4678
O,4928,0001001101000000,0000000011111010,250,4678
O,4929,0001001101000001,0000000011111011,251,4678
M,38,0000000000100110,0000000011111100,252,-214
O,4930,0001001101000010,0000000011111101,253,4677
O,4931,0001001101000011,0000000011111110,254,4677
O,4932,0001001101000100,0000000011111111,255,4677
M,39,0000000000100111,0000000100000000,256,-217
M,40,0000000000101000,0000000100000001,257,-217
O,4933,0001001101000101,0000000100000010,258,4675
M,41,0000000000101001,0000000100000011,259,-218
O,4934,0001001101000110,0000000100000100,260,4674
O,4935,0001001101000111,0000000100000101,261,4674
O,4936,0001001101001000,0000000100000110,262,4674
O,4937,0001001101001001,0000000100000111,263,4674
O,4938,0001001101001010,0000000100001000,264,4674
O,4939,0001001101001011,0000000100001001,265,4674
O,4940,0001001101001100,0000000100001010,266,4674
O,4941,0001001101001101,0000000100001011,267,4674
O,4942,0001001101001110,0000000100001100,268,4674
O,4943,0001001101001111,0000000100001101,269,4674
O,4944,0001001101010000,0000000100001110,270,4674
O,4945,0001001101010001,0000000100001111,271,4674
M,42,0000000000101010,0000000100010000,272,-230
M,43,0000000000101011,0000000100010001,273,-230
O,4946,0001001101010010,0000000100010010,274,4672
M,44,0000000000101100,0000000100010011,275,-231
O,4947,0001001101010011,0000000100010100,276,4671
O,4948,0001001101010100,0000000100010101,277,4671
O,4949,0001001101010101,0000000100010110,278,4671
O,4950,0001001101010110,0000000100010111,279,4671
O,4951,0001001101010111,0000000100011000,280,4671
O,4952,0001001101011000,0000000100011001,281,4671
O,4953,0001001101011001,0000000100011010,282,4671
O,4954,0001001101011010,0000000100011011,283,4671
O,4955,0001001101011011,0000000100011100,284,4671
O,4956,0001001101011100,0000000100011101,285,4671
O,4957,0001001101011101,0000000100011110,286,4671
O,4958,0001001101011110,0000000100011111,287,4671
O,4959,0001001101011111,0000000100100000,288,4671
O,4960,0001001101100000,0000000100100001,289,4671
O,4961,0001001101100001,0000000100100010,290,4671
O,4962,0001001101100010,0000000100100011,291,4671
O,4963,0001001101100011,0000000100100100,292,4671
O,4964,0001001101100100,0000000100100101,293,4671
O,4965,0001001101100101,0000000100100110,294,4671
O,4966,0001001101100110,0000000100100111,295,4671
O,4967,0001001101100111,0000000100101000,296,4671
O,4968,0001001101101000,0000000100101001,297,4671
O,4969,0001001101101001,0000000100101010,298,4671
